Budding Proportion	Generations to Homoplasmy
0.01	36
0.02	24
0.03	28
0.04	27
0.05	34
0.06	39
0.07	38
0.08	52
0.09	101
0.10	80
0.11	73
0.12	80
0.13	108
0.14	136
0.15	108
0.16	136
0.17	101
0.18	108
0.19	164
0.20	122
0.21	129
0.22	150
0.23	206
0.24	171
0.25	178
0.26	227
0.27	192
0.28	192
0.29	276
0.30	220
0.31	206
0.32	185
0.33	213
0.34	241
0.35	241
0.36	248
0.37	248
0.38	416
0.39	318
0.40	255
0.41	276
0.42	283
0.43	360
0.44	290
0.45	339
0.46	311
0.47	269
0.48	269
0.49	318
0.50	360
