Budding Proportion,Generations to Homoplasmy
0.01,37
0.02,13
0.03,20
0.04,19
0.05,19
0.06,18
0.07,18
0.08,17
0.09,17
0.10,31
0.11,24
0.12,17
0.13,22
0.14,17
0.15,17
0.16,20
0.17,17
0.18,17
0.19,17
0.20,21
0.21,24
0.22,24
0.23,19
0.24,17
0.25,17
0.26,20
0.27,24
0.28,24
0.29,24
0.30,24
0.31,20
0.32,17
0.33,17
0.34,19
0.35,19
0.36,24
0.37,17
0.38,21
0.39,17
0.40,17
0.41,24
0.42,17
0.43,23
0.44,17
0.45,24
0.46,17
0.47,24
0.48,24
0.49,17
0.50,17
