Budding Proportion	Generations to Homoplasmy
0.01	42
0.02	24
0.03	21
0.04	19
0.05	34
0.06	32
0.07	45
0.08	45
0.09	53
0.10	52
0.11	73
0.12	73
0.13	80
0.14	101
0.15	108
0.16	108
0.17	115
0.18	129
0.19	115
0.20	122
0.21	136
0.22	220
0.23	164
0.24	164
0.25	150
0.26	255
0.27	171
0.28	185
0.29	248
0.30	199
0.31	234
0.32	262
0.33	192
0.34	255
0.35	213
0.36	283
0.37	297
0.38	360
0.39	304
0.40	269
0.41	304
0.42	248
0.43	255
0.44	395
0.45	353
0.46	402
0.47	248
0.48	318
0.49	297
0.50	479
